FID,Town_ID,Name,County,Pop_2010,Pop_2000,Pop_1990,Type,Lon,Lat,Elevation,Alt_Names,Max_2010,Max_2000,Max_1990,GeoID10,Shifted
207,208,Armington,Cascade,145,125,161,2-mile diameter circle,-110.9039993,47.36640167,3563, ,268,263,297, ,0
208,209,Austin,Lewis And Clark,20,12,17,2-mile diameter circle,-112.2450027,46.63909912,4754, ,73,55,366, ,0
209,210,Avon,Powell,111,123,100,Census Designated Place,-112.5970001,46.59840012,4701, ,111,164,195,3003175,1
210,211,Babb,Glacier,174,146,55,Census Designated Place,-113.4369965,48.86029816,4518, ,174,230,110,3003250,0
211,212,Ballantine,Yellowstone,320,342,307,Census Designated Place,-108.1449966,45.94889832,2999, ,320,376,348,3003625,0
212,213,Bannack,Beaverhead,2,2,1,2-mile diameter circle,-112.9960022,45.1609993,5771, ,10,17,66, ,0
213,214,Basin,Jefferson,212,253,53,Census Designated Place,-112.2639999,46.27130127,5364, ,212,266,238,3004150,0
214,215,Baylor,Valley,1,3,2,2-mile diameter circle,-106.4789963,48.66339874,2956, ,9,32,21, ,0
215,216,Beebe,Custer,0,2,0,2-mile diameter circle,-105.5690002,46.05530167,2703, ,6,21,36, ,0
216,217,Belknap,Sanders,158,111,62,Census Designated Place,-115.4089966,47.66220093,2428, ,158,337,261,3005050,0
217,218,Belle Creek,Powder River,5,23,6,2-mile diameter circle,-105.1110001,45.1391983,3570, ,16,31,159, ,0
218,219,Belltower,Carter,2,2,1,2-mile diameter circle,-104.3769989,45.63830185,3251, ,2,5,50, ,0
219,220,Benchland,Judith Basin,7,7,5,2-mile diameter circle,-110.0179977,47.07939911,4337, ,17,24,21, ,0
220,221,Benteen,Big Horn,41,49,32,2-mile diameter circle,-107.3960037,45.45640182,3219, ,129,187,85, ,0
221,222,Biddle,Powder River,41,48,14,Census Designated Place,-105.3379974,45.09939957,3337, ,41,60,135,3005650,0
222,223,Big Arm,Lake,177,127,126,Census Designated Place,-114.2949982,47.79800034,2956, ,177,280,224,3005800,0
223,224,Big Sky Meadow Village,Gallatin,1922,915,426,Manually defined region,-111.3119965,45.26089859,6325,This is the Gallatin County area of the Big Sky CDP (3006325),1922,1012,814, ,1
224,225,Big Sky Mountain Village,Madison,386,187,142,Manually defined region,-111.3990021,45.28960037,7451,This is the Madison County area of the Big Sky CDP (3006325),386,334,506, ,0
225,226,Bighorn,Treasure,8,3,23,2-mile diameter circle,-107.4489975,46.1617012,2703, ,55,158,115, ,0
226,227,Birney Day School,Rosebud,127,70,84,"2-mile diameter circle, Part of a CDP",-106.4649963,45.41609955,3087,Partly in the Birney CDP (3006925),135,100,120, ,0
227,228,Black Eagle,Cascade,904,908,919,Census Designated Place,-111.2779999,47.52470016,3379, ,904,953,961,3007150,0
228,229,Blackfoot,Glacier,65,48,29,2-mile diameter circle,-112.8769989,48.57529831,4160, ,143,212,286, ,0
229,230,Blackleaf,Teton,0,3,1,2-mile diameter circle,-112.6060028,48.01250076,4705, ,8,13,76, ,0
230,231,Bloomfield,Dawson,3,3,4,2-mile diameter circle,-104.9169998,47.41279984,2615, ,37,40,61, ,0
231,232,Boyd,Carbon,35,32,3,Census Designated Place,-109.0670013,45.45769882,4029, ,35,88,82,3008800,0
232,233,Boyes,Carter,3,10,3,2-mile diameter circle,-105.0309982,45.26919937,3330, ,23,36,115, ,1
233,234,Brandenberg,Rosebud,12,13,8,2-mile diameter circle,-106.2330017,45.81610107,2789, ,85,56,47, ,0
234,235,Brockway,McCone,22,35,21,2-mile diameter circle,-105.7630005,47.29899979,2582, ,80,101,73, ,1
235,236,Brusett,Garfield,1,2,2,2-mile diameter circle,-107.2669983,47.4253006,2904, ,15,11,44, ,0
236,237,Buffalo,Fergus,9,18,8,2-mile diameter circle,-109.8290024,46.82109833,4321, ,24,34,16, ,0
237,238,Bynum,Teton,31,31,20,Census Designated Place,-112.3119965,47.9776001,3976, ,31,110,112,3011500,1
238,239,Calvert,Cascade,1,2,5,2-mile diameter circle,-111.1380005,47.16439819,4757, ,67,91,83, ,1
239,240,Camas,Sanders,58,27,17,Census Designated Place,-114.6579971,47.61800003,2838, ,58,167,237,3011800,0
240,241,Camas Prairie,Sanders,6,4,8,2-mile diameter circle,-114.6060028,47.46260071,2835, ,55,34,25, ,1
241,242,Cameron,Madison,6,5,4,2-mile diameter circle,-111.6790009,45.20330048,5377, ,14,5,24, ,0
242,243,Canyon Creek,Lewis And Clark,32,30,7,2-mile diameter circle,-112.2639999,46.80550003,4347, ,92,69,160, ,0
243,244,Canyon Ferry,Lewis And Clark,35,47,21,2-mile diameter circle,-111.7180023,46.6554985,3852, ,261,473,214, ,0
244,245,Capitol,Carter,6,3,3,2-mile diameter circle,-104.0650024,45.43610001,3182, ,10,11,37, ,0
245,246,Carbert,Daniels,1,1,1,2-mile diameter circle,-105.810997,48.97589874,2654, ,34,57,57, ,0
246,247,Cardwell,Jefferson,50,40,21,Census Designated Place,-111.9530029,45.85990143,4281, ,50,88,452,3012400,0
