OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparency,SymbolID
389,CABIN CREEK CAMPGROUND,campground,USFS,,,,Y,44.87166,-111.344,http://www.recreation.gov,,
390,CANYON,campground,USFS,,,,Y,45.18263,-110.886999,http://www.recreation.gov,,
391,CHERRY CREEK CAMPGROUND,campground,USFS,,,,N,44.70966,-111.2639405,http://www.recreation.gov,,
392,CHIEF JOSEPH,campground,USFS,,,,Y,45.01946,-109.873768,http://www.recreation.gov,,
393,CHIPPY PARK,campground,USFS,,,,Y,45.437197,-110.189035,http://www.recreation.gov,,
394,CHISHOLM,campground,USFS,,,,Y,45.47329,-110.9571,http://www.recreation.gov,,
395,COLTER,campground,USFS,,,,Y,45.028153,-109.894191,http://www.recreation.gov,,
396,EAGLE CREEK,campground,USFS,,,,Y,45.04623,-110.67855,http://www.recreation.gov,,
397,EAST BOULDER,campground,USFS,,,,N,45.538372,-110.150004,http://www.recreation.gov,,
398,FAIRY LAKE-C,campground,USFS,,,,N,45.906,-110.9613974,http://www.recreation.gov,,
399,FALLS CREEK,campground,USFS,,,,N,45.490267,-110.218097,http://www.recreation.gov,,
400,GREEK CREEK,campground,USFS,,,,Y,45.380402,-111.18115,http://www.recreation.gov,,
401,HALFMOON,campground,USFS,,,,Y,46.041059,-110.238062,http://www.recreation.gov,,
402,HELLS CANYON,campground,USFS,,,,N,45.362165,-110.214239,http://www.recreation.gov,,
403,HICKS PARK,campground,USFS,,,,Y,45.298069,-110.239207,http://www.recreation.gov,,
404,HOOD CREEK-C,campground,USFS,,,,Y,45.4845,-110.9677,http://www.recreation.gov,,
405,HYALITE BELOW DAM CAMPING,campground,USFS,,,,N,45.4886,-110.9817,http://www.recreation.gov,,
406,LANGOHR-C,campground,USFS,,,,Y,45.5327,-111.0152,http://www.recreation.gov,,
407,MOOSE CREEK FLAT,campground,USFS,,,,N,45.3325,-111.1724,http://www.recreation.gov,,
408,PINE CREEK,campground,USFS,,,,Y,45.49769,-110.52182,http://www.recreation.gov,,
409,RAINBOW POINT CAMPGROUND,campground,USFS,,,,Y,44.77839,-111.177,http://www.recreation.gov,,
410,RED CLIFF-C,campground,USFS,,,,Y,45.1732,-111.241,http://www.recreation.gov,,
411,ROCK CREEK SOUTH,campground,USFS,,,,N,45.2101,-110.04378,http://www.recreation.gov,,
412,SHIELDS RIVER,campground,USFS,,,,N,46.184053,-110.403182,http://www.recreation.gov,,
413,SNOWBANK CAMPGROUND,campground,USFS,,,,Y,45.2892,-110.54875,http://www.recreation.gov,,
414,SODA BUTTE,campground,USFS,,,,Y,45.024202,-109.912006,http://www.recreation.gov,,
415,SPIRE ROCK,campground,USFS,,,,Y,45.4398,-111.19299,http://www.recreation.gov,,
416,SPRING CREEK CAMP AREA,campground,USFS,,,,N,44.7845,-111.27516,http://www.recreation.gov,,
417,SQUAW FLAT CAMPGROUND,campground,USFS,,,,N,45.4413,-111.2065,http://www.recreation.gov,,
418,SWAN CREEK,campground,USFS,,,,Y,45.372,-111.1636,http://www.recreation.gov,,
419,TOM MINER,campground,USFS,,,,Y,45.129398,-111.062534,http://www.recreation.gov,,
420,WEST BOULDER-C,campground,USFS,,,,Y,45.548228,-110.306848,http://www.recreation.gov,,
421,ASPEN GROVE CAMPGROUND,campground,USFS,,,,Y,46.97861111,-112.5313889,http://www.recreation.gov,,
422,COPPER CREEK CAMPGROUND,campground,USFS,,,,Y,47.07833333,-112.6194444,http://www.recreation.gov,,
423,COULTER CAMPGROUND,campground,USFS,,,,N,46.5133,-111.5428,http://www.recreation.gov,,
424,CROMWELL DIXON CAMPGROUND,campground,USFS,,,,Y,46.3326,-112.1855,http://www.recreation.gov,,
425,GIPSY LAKE CAMPGROUND,campground,USFS,,,,N,46.50111111,-111.2119444,http://www.recreation.gov,,
426,KADING CAMPGROUND,campground,USFS,,,,Y,46.42888889,-112.4813889,http://www.recreation.gov,,
427,MOOSE CREEK,campground,USFS,,,,N,46.928889,-112.852222,http://www.recreation.gov,,
428,MOOSE CREEK CAMPGROUND,campground,USFS,,,,Y,46.52611111,-112.2561111,http://www.recreation.gov,,
429,PARK LAKE CAMPGROUND,campground,USFS,,,,Y,46.44277778,-112.1686111,http://www.recreation.gov,,
430,PINE GROVE,campground,USFS,,,,N,47.005278,-112.743889,http://www.recreation.gov,,
431,SKIDWAY CAMPGROUND,campground,USFS,,,,N,46.35416667,-111.0983333,http://www.recreation.gov,,
432,VIGILANTE CAMPGROUND,campground,USFS,,,,Y,46.76694444,-111.6505556,http://www.recreation.gov,,
433,BARRON FLAT DISPERSED SITES,campground,USFS,,,,N,48.51627778,-115.2918639,http://www.recreation.gov,,
434,BIG CREEK,campground,USFS,,,,N,48.76010556,-115.4596278,http://www.recreation.gov,,
435,BIG THERRIAULT LAKE,campground,USFS,,,,Y,48.936,-114.8794444,http://www.recreation.gov,,
436,BUNCHGRASS,campground,USFS,,,,N,48.82194445,-114.8816389,http://www.recreation.gov,,
437,CAMP 32,campground,USFS,,,,N,48.83730556,-115.19025,http://www.recreation.gov,,
438,CARIBOU,campground,USFS,,,,N,48.94897222,-115.5040278,http://www.recreation.gov,,
439,CLARENCE GUARD STATION & MEADOW,campground,USFS,,,,N,48.89052777,-114.7984167,http://www.recreation.gov,,
440,DOUGLAS HILL,campground,USFS,,,,N,48.908664,-115.157728,http://www.recreation.gov,,
441,GATEWAY BOAT CAMP,campground,USFS,,,,N,48.99780556,-115.1650278,http://www.recreation.gov,,
442,GOLD PANNING AREA,campground,USFS,,,,N,48.11533889,-115.548775,http://www.recreation.gov,,
443,GRAVE CREEK,campground,USFS,,,,N,48.82069444,-114.8791667,http://www.recreation.gov,,
444,HELLROARING,campground,USFS,,,,N,48.83816944,-115.97265,http://www.recreation.gov,,
445,HOWARD LAKE,campground,USFS,,,,Y,48.10094444,-115.5306667,http://www.recreation.gov,,
446,KAMLOOPS TERRACE,campground,USFS,,,,Y,48.90211111,-115.1593333,http://www.recreation.gov,,
447,LAKE CREEK,campground,USFS,,,,N,48.03908333,-115.4908333,http://www.recreation.gov,,
448,LITTLE THERRIAULT LAKE,campground,USFS,,,,Y,48.94305556,-114.8918611,http://www.recreation.gov,,
449,LOON LAKE,campground,USFS,,,,N,48.59838889,-115.6719722,http://www.recreation.gov,,
450,MARTEN CREEK,campground,USFS,,,,N,47.88213889,-115.7525833,http://www.recreation.gov,,
451,MC GILLIVRAY,campground,USFS,,,,Y,48.48873889,-115.3001472,http://www.recreation.gov,,
452,MURPHY LAKE,campground,USFS,,,,N,48.73972222,-114.8612222,http://www.recreation.gov,,
453,PETE CREEK,campground,USFS,,,,Y,48.83088889,-115.7667778,http://www.recreation.gov,,
454,RED TOP,campground,USFS,,,,N,48.76091667,-115.9187778,http://www.recreation.gov,,
455,ROCK LAKE,campground,USFS,,,,N,48.8245,-115.0051667,http://www.recreation.gov,,
456,SPAR LAKE,campground,USFS,,,,N,48.26972222,-115.9536111,http://www.recreation.gov,,
457,SWISHER LAKE,campground,USFS,,,,N,48.96897222,-115.1331944,http://www.recreation.gov,,
458,SYLVAN LAKE,campground,USFS,,,,N,47.91694444,-115.2811667,http://www.recreation.gov,,
459,TOBACCO PLAINS DISP. CAMP,campground,USFS,,,,N,48.89301944,-115.1345639,http://www.recreation.gov,,
460,TOBACCO RIVER,campground,USFS,,,,N,48.89666667,-115.1408333,http://www.recreation.gov,,
461,UPPER PINKHAM CREEK,campground,USFS,,,,N,48.73345555,-115.0720556,http://www.recreation.gov,,
462,WARLAND FLAT,campground,USFS,,,,N,48.50231667,-115.2606083,http://www.recreation.gov,,
463,WEASEL CABIN,campground,USFS,,,,N,48.97722223,-114.7400556,http://www.recreation.gov,,
464,WHITETAIL,campground,USFS,,,,Y,48.828,-115.8143889,http://www.recreation.gov,,
465,WILLOW CREEK,campground,USFS,,,,N,47.87116667,-115.3095,http://www.recreation.gov,,
466,WOLVERINE CABIN,campground,USFS,,,,N,48.97113889,-114.9190556,http://www.recreation.gov,,
467,YAAK FALLS,campground,USFS,,,,N,48.64477778,-115.8861111,http://www.recreation.gov,,
468,YAAK RIVER,campground,USFS,,,,Y,48.56108333,-115.9723611,http://www.recreation.gov,,
469,ASPEN CG,campground,USFS,,,,Y,46.99222222,-110.7688889,http://www.recreation.gov,,
470,BASIN CR DISPERSED,campground,USFS,,,,N,46.64086243,-110.4308737,http://www.recreation.gov,,
471,BEAVER CR DISPERSED,campground,USFS,,,,N,47.60473,-112.75355,http://www.recreation.gov,,
472,BENCHMARK CG,campground,USFS,,,,Y,47.48583333,-112.8808333,http://www.recreation.gov,,
473,CAVE MOUNTAIN CG,campground,USFS,,,,Y,47.89138889,-112.7269444,http://www.recreation.gov,,
474,CRYSTAL LAKE CAMPGROUND,campground,USFS,,,,Y,46.79388889,-109.5111111,http://www.recreation.gov,,
475,DAISY DEAN CAMP,campground,USFS,,,,N,46.62277778,-110.3547222,http://www.recreation.gov,,
476,DOUBLE FALLS CG,campground,USFS,,,,N,47.40712692,-112.7218713,http://www.recreation.gov,,
477,DRY FORK DISPERSED,campground,USFS,,,,N,47.066675,-110.726008,http://www.recreation.gov,,
478,DRY POLE CANYON DISPERSED,campground,USFS,,,,N,46.76666667,-110.2833333,http://www.recreation.gov,,
479,DRY WOLF CAMPGROUND,campground,USFS,,,,Y,46.97916667,-110.5186111,http://www.recreation.gov,,
480,ELKO CG,campground,USFS,,,,N,47.92444444,-112.7633333,http://www.recreation.gov,,
481,FOREST LAKE CG,campground,USFS,,,,N,46.24441956,-110.4375271,http://www.recreation.gov,,
482,GRASSHOPPER CG,campground,USFS,,,,Y,46.54361111,-110.7480556,http://www.recreation.gov,,
483,GREEN GULCH DISPERSED CAMP,campground,USFS,,,,N,47.85993557,-112.7571903,http://www.recreation.gov,,
484,HANNAN DISPERSED,campground,USFS,,,,N,47.61923704,-112.7345729,http://www.recreation.gov,,
485,HAY CANYON CG,campground,USFS,,,,N,46.79888889,-110.3002778,http://www.recreation.gov,,
486,HAYMAKER DISPERSED,campground,USFS,,,,N,46.63336964,-110.133774,http://www.recreation.gov,,
487,HOME GULCH CG,campground,USFS,,,,Y,47.61583333,-112.7244444,http://www.recreation.gov,,
488,HUNTER CAMP DISPERSED,campground,USFS,,,,N,46.67919516,-110.4900594,http://www.recreation.gov,,
489,INDIAN HILL CAMPGROUND,campground,USFS,,,,N,46.815,-110.2852778,http://www.recreation.gov,,
490,JELLISON PLACE,campground,USFS,,,,N,46.66568,-110.05524,http://www.recreation.gov,,
491,JUDITH STATION CAMPGROUND,campground,USFS,,,,N,46.84833333,-110.2897222,http://www.recreation.gov,,
492,JUMPING CREEK CG,campground,USFS,,,,Y,46.76388889,-110.7847222,http://www.recreation.gov,,
493,KINGS HILL CG,campground,USFS,,,,Y,46.84222222,-110.6966667,http://www.recreation.gov,,
494,LION CR-LOWER CAMP,campground,USFS,,,,N,46.66603265,-110.5733661,http://www.recreation.gov,,
495,LION CR-UPPER CAMP,campground,USFS,,,,N,46.6756288,-110.5765682,http://www.recreation.gov,,
