OBJECTID_1,OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparen,SymbolID
65,65,River Junction,boat launch/fishing access/campsite,MT FWP,primitive, ,6,Y,46.98573593,-113.1363657,http://fwp.mt.gov/fishing/siteDetail.html?id=280595,0, 
66,66,Rock Creek,boat launch/fishing access/campsite,MT FWP,concrete, ,3,N,47.76763327,-106.285876,http://fwp.mt.gov/fishing/siteDetail.html?id=283564,0, 
67,67,Rosebud East,boat launch/fishing access/campsite,MT FWP,concrete, ,10,Y,46.27389962,-106.6776973,http://fwp.mt.gov/fishing/siteDetail.html?id=283995,0, 
68,68,Rosebud Isle,boat launch/fishing access/campsite,MT FWP,hand launch only, ,8,N,45.45073911,-109.5067729,http://fwp.mt.gov/fishing/siteDetail.html?id=283241,0, 
69,69,Selkirk,boat launch/fishing access/campsite,MT FWP,primitive, ,5,N,46.46466661,-110.2237622,http://fwp.mt.gov/fishing/siteDetail.html?id=283060,0, 
70,70,Seven Sisters,boat launch/fishing access/campsite,MT FWP,hand launch only, ,1,N,47.57379632,-104.2227692,http://fwp.mt.gov/fishing/siteDetail.html?id=6872359,0, 
71,71,South Sandstone,boat launch/fishing access/campsite,MT FWP,concrete, ,10,N,46.33255572,-104.4741424,http://fwp.mt.gov/fishing/siteDetail.html?id=283867,0, 
72,72,Stickney Creek,boat launch/fishing access/campsite,MT FWP,concrete, ,4,Y,47.11624927,-111.9457602,http://fwp.mt.gov/fishing/siteDetail.html?id=282650,0, 
73,73,Swinging Bridge,boat launch/fishing access/campsite,MT FWP,hand launch only, ,5,N,45.58431085,-109.3316211,http://fwp.mt.gov/fishing/siteDetail.html?id=283248,0, 
74,74,Thompson Chain-of-Lakes,boat launch/fishing access/campsite,MT FWP,concrete,hand launch only,91,Y,48.0430779,-115.0951888,http://fwp.mt.gov/fishing/siteDetail.html?id=279882,0, 
75,75,Thompson Chain-of-Lakes,boat launch/fishing access/campsite,MT FWP,concrete,hand launch only,91,Y,48.04548315,-114.8304643,http://fwp.mt.gov/fishing/siteDetail.html?id=279882,0, 
76,76,Twelve Mile Dam,boat launch/fishing access/campsite,MT FWP,primitive, ,8,N,46.2468868,-105.7499003,http://fwp.mt.gov/fishing/siteDetail.html?id=283799,0, 
77,77,Two Leggins,boat launch/fishing access/campsite,MT FWP,concrete, ,1,Y,45.64533796,-107.6586506,http://fwp.mt.gov/fishing/siteDetail.html?id=283251,0, 
78,78,Varney Bridge,boat launch/fishing access/campsite,MT FWP,concrete, ,8,Y,45.22899639,-111.7519454,http://fwp.mt.gov/fishing/siteDetail.html?id=281353,0, 
79,79,Water Birch,boat launch/fishing access/campsite,MT FWP,hand launch only, ,10,Y,45.31475548,-109.1919664,http://fwp.mt.gov/fishing/siteDetail.html?id=283254,0, 
80,80,Whitebird,boat launch/fishing access/campsite,MT FWP,concrete, ,10,Y,45.5752314,-109.3370225,http://fwp.mt.gov/fishing/siteDetail.html?id=283259,0, 
81,81,Willow Creek Reservoir,boat launch/fishing access/campsite,MT FWP,concrete, ,6,Y,47.54780061,-112.4404468,http://fwp.mt.gov/fishing/siteDetail.html?id=282142,0, 
82,82,Wolf Creek Bridge,boat launch/fishing access/campsite,MT FWP,concrete, ,5,Y,47.01982632,-112.01111,http://fwp.mt.gov/fishing/siteDetail.html?id=282659,0, 
83,83,York's Islands,boat launch/fishing access/campsite,MT FWP,concrete, ,10,Y,46.26686551,-111.4935621,http://fwp.mt.gov/fishing/siteDetail.html?id=281598,0, 
84,84,Black Sandy,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,46.74486094,-111.8863175,http://stateparks.mt.gov/camping/,0, 
85,85,Black Sandy,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,46.74665254,-111.886611,http://stateparks.mt.gov/camping/,0, 
86,86,Cooney,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.44318781,-109.2041589,http://stateparks.mt.gov/camping/,0, 
87,87,Cooney,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.44053459,-109.2340202,http://stateparks.mt.gov/camping/,0, 
88,88,Cooney,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.43527913,-109.2257519,http://stateparks.mt.gov/camping/,0, 
89,89,Cooney,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.44073614,-109.209658,http://stateparks.mt.gov/camping/,0, 
90,90,Cooney,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.44943813,-109.2157267,http://stateparks.mt.gov/camping/,0, 
91,91,Lake Mary Ronan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.92588086,-114.3812975,http://stateparks.mt.gov/camping/,0, 
92,92,Logan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.03332941,-115.069,http://stateparks.mt.gov/camping/,0, 
93,93,Logan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.03393705,-115.0689066,http://stateparks.mt.gov/camping/,0, 
94,94,Logan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.03337757,-115.0673163,http://stateparks.mt.gov/camping/,0, 
95,95,Logan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.0327127,-115.0653304,http://stateparks.mt.gov/camping/,0, 
96,96,Missouri Headwaters,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.91792243,-111.5021595,http://stateparks.mt.gov/camping/,0, 
97,97,Painted Rocks,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.68350428,-114.3002017,http://stateparks.mt.gov/camping/,0, 
98,98,Painted Rocks,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.68049325,-114.3020744,http://stateparks.mt.gov/camping/,0, 
99,99,Placid Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.12037461,-113.5049442,http://stateparks.mt.gov/camping/,0, 
100,100,Placid Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.11742707,-113.50252,http://stateparks.mt.gov/camping/,0, 
101,101,Placid Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.11805477,-113.5012166,http://stateparks.mt.gov/camping/,0, 
102,102,Salmon Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.09225997,-113.3979565,http://stateparks.mt.gov/camping/,0, 
103,103,Salmon Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.09406092,-113.3998894,http://stateparks.mt.gov/camping/,0, 
104,104,Tongue River Reservoir,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.09554742,-106.7893609,http://stateparks.mt.gov/camping/,0, 
105,105,Tongue River Reservoir,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.10803131,-106.7764639,http://stateparks.mt.gov/camping/,0, 
106,106,Tongue River Reservoir,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,45.09422518,-106.7966261,http://stateparks.mt.gov/camping/,0, 
107,107,Logan,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.03211343,-115.0665592,http://stateparks.mt.gov/camping/,0, 
108,108,Whitefish Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.42491258,-114.3701047,http://stateparks.mt.gov/camping/,0, 
109,109,Whitefish Lake,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,48.42505087,-114.3715802,http://stateparks.mt.gov/camping/,0, 
110,110,Flathead Lake/Finley Point,boat launch/fishing access/campsite,State of Montana,not reported, ,0,Y,47.75466037,-114.0856117,http://stateparks.mt.gov/camping/,0, 
111,111,Makoshika,campground,State of Montana, , ,0,Y,47.07367689,-104.6936989,http://stateparks.mt.gov/camping/,0, 
112,112,Makoshika,campground,State of Montana, , ,0,Y,47.05797802,-104.664001,http://stateparks.mt.gov/camping/,0, 
113,113,Makoshika,campground,State of Montana, , ,0,Y,47.03759769,-104.6374621,http://stateparks.mt.gov/camping/,0, 
114,114,BALANCED ROCK CAMPGROUND,campground,USFS, , ,0,N,45.49177,-112.01842,http://www.recreation.gov,0, 
115,115,BASIN CANYON CAMPGROUND,campground,USFS, , ,0,N,45.8555,-112.5479,http://www.recreation.gov,0, 
116,116,BEAR CREEK CAMPGROUND,campground,USFS, , ,0,N,45.1626,-111.55646,http://www.recreation.gov,0, 
117,117,BEAVERDAM CAMPGROUND,campground,USFS, , ,0,Y,45.88291,-112.77771,http://www.recreation.gov,0, 
118,118,BELL LAKE JUNCTION DISPERSED SITE,campground,USFS, , ,0,N,45.56027778,-111.9575,http://www.recreation.gov,0, 
119,119,BOULDER CREEK CAMPGROUND,campground,USFS, , ,0,Y,45.64881,-113.0637,http://www.recreation.gov,0, 
120,120,BOY SCOUT FLAT DISPERSED SITE,campground,USFS, , ,0,N,45.45983333,-112.8658056,http://www.recreation.gov,0, 
121,121,BRANHAM LAKES CAMPGROUND,campground,USFS, , ,0,N,45.51755,-111.98908,http://www.recreation.gov,0, 
122,122,BROWNES LAKE DISPERSED SITE,campground,USFS, , ,0,N,45.52808334,-112.8181111,http://www.recreation.gov,0, 
123,123,CABLE MOUNTAIN CAMPGROUND,campground,USFS, , ,0,Y,46.22094,-113.24323,http://www.recreation.gov,0, 
124,124,CANYON CREEK CAMPGROUND,campground,USFS, , ,0,N,45.62355,-112.94217,http://www.recreation.gov,0, 
125,125,CLIFF POINT CAMPGROUND,campground,USFS, , ,0,Y,44.79308,-111.56688,http://www.recreation.gov,0, 
126,126,COPPER CREEK CAMPGROUND,campground,USFS, , ,0,N,46.06755,-113.54331,http://www.recreation.gov,0, 
127,127,COTTONWOOD CAMPGROUND,campground,USFS, , ,0,N,44.97146,-111.96552,http://www.recreation.gov,0, 
128,128,CRYSTAL CREEK CAMPGROUND,campground,USFS, , ,0,N,46.23448,-113.75007,http://www.recreation.gov,0, 
129,129,DELMOE LAKE CAMPGROUND,campground,USFS, , ,0,Y,45.986667,-112.356111,http://www.recreation.gov,0, 
130,130,DINNER STATION CAMPGROUND,campground,USFS, , ,0,Y,45.42707,-112.90266,http://www.recreation.gov,0, 
131,131,EAST CREEK CAMPGROUND,campground,USFS, , ,0,N,44.55402,-112.66163,http://www.recreation.gov,0, 
132,132,EAST FORK CAMPGROUND,campground,USFS, , ,0,N,46.13995,-113.38871,http://www.recreation.gov,0, 
133,133,ELK CREEK DISPERSED,campground,USFS, , ,0,N,45.59594444,-113.0963056,http://www.recreation.gov,0, 
134,134,ELK LAKE DISPERSED SITE,campground,USFS, , ,0,N,44.66944445,-111.6302778,http://www.recreation.gov,0, 
135,135,FLINT CREEK CAMPGROUND,campground,USFS, , ,0,N,46.23385,-113.30217,http://www.recreation.gov,0, 
136,136,FOURTH OF JULY CAMPGROUND,campground,USFS, , ,0,Y,45.66131,-113.06035,http://www.recreation.gov,0, 
137,137,GRASSHOPPER CAMPGROUND,campground,USFS, , ,0,Y,45.45102,-113.12383,http://www.recreation.gov,0, 
138,138,HIDDEN LAKE DISPERSED SITE,campground,USFS, , ,0,N,44.71416667,-111.6066667,http://www.recreation.gov,0, 
139,139,HILLTOP CAMPGROUND,campground,USFS, , ,0,Y,44.79959,-111.56321,http://www.recreation.gov,0, 
140,140,JERRY CREEK DISPERSED SITE,campground,USFS, , ,0,N,45.83461111,-112.8750833,http://www.recreation.gov,0, 
141,141,KITTY CREEK DISPERSED SITE,campground,USFS, , ,0,N,45.07763889,-113.4239722,http://www.recreation.gov,0, 
142,142,LADYSMITH CAMPGROUND,campground,USFS, , ,0,N,46.25088,-112.40498,http://www.recreation.gov,0, 
143,143,LITTLE JOE CAMPGROUND,campground,USFS, , ,0,Y,45.55792,-113.09271,http://www.recreation.gov,0, 
144,144,LODGEPOLE CAMPGROUND-02,campground,USFS, , ,0,Y,45.64334,-113.07749,http://www.recreation.gov,0, 
145,145,LODGEPOLE CAMPGROUND-08,campground,USFS, , ,0,Y,46.21315,-113.27527,http://www.recreation.gov,0, 
146,146,LOWLAND CAMPGROUND,campground,USFS, , ,0,Y,46.13773,-112.50858,http://www.recreation.gov,0, 
147,147,MADISON RIVER CAMPGROUND,campground,USFS, , ,0,Y,44.87719,-111.57571,http://www.recreation.gov,0, 
148,148,MAY CREEK CAMPGROUND,campground,USFS, , ,0,Y,45.65063,-113.78301,http://www.recreation.gov,0, 
149,149,MILL CREEK CAMPGROUND,campground,USFS, , ,0,N,45.48552,-112.07968,http://www.recreation.gov,0, 
150,150,MINER LAKE CAMPGROUND,campground,USFS, , ,0,Y,45.32407,-113.58388,http://www.recreation.gov,0, 
151,151,MONO CREEK CAMPGROUND,campground,USFS, , ,0,Y,45.53436,-113.07876,http://www.recreation.gov,0, 
152,152,MORMON GULCH CAMPGROUND,campground,USFS, , ,0,N,46.25921,-112.36281,http://www.recreation.gov,0, 
153,153,MUSSIGBROD CAMPGROUND,campground,USFS, , ,0,Y,45.78891,-113.60973,http://www.recreation.gov,0, 
154,154,NORTH VAN HOUTEN CAMPGROUND,campground,USFS, , ,0,N,45.24803,-113.47642,http://www.recreation.gov,0, 
155,155,OROFINO CAMPGROUND,campground,USFS, , ,0,N,46.2623,-112.6074,http://www.recreation.gov,0, 
156,156,PETTENGILL CAMPGROUND,campground,USFS, , ,0,Y,45.68344,-113.05513,http://www.recreation.gov,0, 
